mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
191204022,9.0,14,0,9.3,13,0,8.6,17,0,7.8,16,0,8.8,9,0,7.9,9,0,7.5,3,0,8.5,12,0,Giỏi
191210929,5.0,14,0,5.3,7,6,6.2,17,0,7.1,16,0,7.9,9,0,6.2,9,0,7.5,3,0,8.8,12,0,Khá
191203823,9.5,14,0,9.5,13,0,9.0,17,0,9.6,16,0,9.5,9,0,9.1,9,0,9.0,3,0,9.3,12,0,Xuất sắc
191210980,6.7,14,0,7.0,13,0,7.3,17,0,7.8,16,0,8.1,9,0,7.7,9,0,7.3,3,0,8.8,12,0,Khá
191203460,7.1,14,0,6.4,13,0,6.5,17,0,6.7,13,3,7.9,6,3,6.2,9,0,7.6,3,0,7.9,12,0,Khá
191201058,7.0,14,0,6.5,13,0,5.3,17,0,7.4,16,0,7.8,9,0,6.8,9,0,7.6,3,0,8.7,12,0,Khá
191212382,6.8,14,0,7.3,13,0,6.3,17,0,7.8,16,0,7.9,9,0,6.1,9,0,7.6,3,0,7.8,12,0,Khá
191201084,8.3,14,0,7.3,13,0,6.1,17,0,7.5,13,3,7.0,9,0,6.6,9,0,8.0,3,0,8.3,12,0,Khá
191201094,8.2,14,0,7.6,13,0,6.4,17,0,7.0,16,0,7.0,9,0,6.0,9,0,8.2,3,0,8.8,12,0,Khá
191202620,8.1,14,0,7.1,13,0,6.6,14,3,7.2,16,0,7.1,9,0,7.8,9,0,8.8,3,0,7.8,12,0,Khá
191201962,6.4,14,0,7.2,13,0,5.7,14,3,7.2,16,0,7.3,9,0,6.7,3,6,8.4,3,0,8.9,12,0,Khá
191210063,9.3,14,0,8.0,13,0,7.5,17,0,9.0,16,0,8.0,9,0,6.0,9,0,10.0,3,0,8.6,12,0,Giỏi
191210076,7.6,14,0,7.8,13,0,8.3,17,0,8.3,16,0,7.8,9,0,8.8,9,0,8.3,3,0,8.6,12,0,Giỏi
191214618,7.6,14,0,7.9,13,0,8.1,17,0,9.0,16,0,7.5,9,0,8.0,9,0,9.4,3,0,8.1,12,0,Giỏi
191211872,6.7,14,0,6.2,13,0,6.1,15,2,7.5,16,0,7.8,9,0,7.7,9,0,7.2,3,0,8.8,12,0,Khá
191203590,7.9,14,0,7.2,13,0,6.7,17,0,9.0,16,0,9.1,9,0,7.0,9,0,8.1,3,0,8.7,12,0,Giỏi
191202444,5.4,14,0,7.1,13,0,5.7,17,0,6.7,16,0,6.7,9,0,8.0,9,0,9.0,3,0,8.4,12,0,Khá
191200234,8.2,14,0,9.2,13,0,8.9,17,0,9.2,16,0,8.7,9,0,9.8,9,0,8.5,3,0,8.6,12,0,Xuất sắc
191201999,6.9,14,0,7.7,13,0,7.5,17,0,8.9,16,0,7.7,9,0,9.2,9,0,8.9,3,0,9.3,12,0,Giỏi
191201469,6.1,14,0,6.6,13,0,7.1,17,0,7.4,16,0,6.7,9,0,6.3,9,0,6.4,3,0,8.5,12,0,Khá
191200281,8.6,14,0,8.1,13,0,6.9,17,0,7.4,14,2,6.6,9,0,6.0,9,0,8.7,3,0,8.5,12,0,Giỏi
191213087,7.9,14,0,7.5,13,0,7.3,17,0,7.9,16,0,8.7,9,0,9.7,9,0,9.7,3,0,9.0,12,0,Giỏi
191210346,7.4,14,0,7.5,13,0,6.9,17,0,7.4,16,0,6.6,9,0,6.4,9,0,9.4,3,0,8.0,12,0,Khá
